name,description,attributes[Effects],attributes[Textures],attributes[Slider 1],attributes[Slider 2]
Refract Pass #11,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Lensman + Lensman + Lensman,refrac_03 + dichro + rainbow + rainbow,~0%,~0%
Refract Pass #12,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + Mosher + Tape + jambler,refrac_09,~0%,~0%
Refract Pass #13,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Papier + Prism OJ + Geotile,refrac_09 + PetalSofter,~0%,~0%
Refract Pass #14,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Slider + Prism OJ + Mosher,refrac_09,~49%,~49%
Refract Pass #15,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Polytone + Papier + Fresnel,refrac_05 + Dawn,~49%,~49%
Refract Pass #16,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Radial + Watercolor + Squiggle,refrac_03,~49%,~49%
Refract Pass #17,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Papier + Geotile + Slick,refrac_02 + Scales,~49%,~49%
Refract Pass #18,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Squiggle + Grainary + Slick,refrac_01,~49%,~49%
Refract Pass #19,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + jambler + Halo + Mosher,refrac_03,~49%,~49%
Refract Pass #20,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Geotile + Slider + Prism OJ,refrac_02 + Cubic,~49%,~49%
Refract Pass #21,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Papier + Grainary + Squiggle + Slick,refrac_02,~0%,~0%
Refract Pass #22,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Grainary + Radial + Geotile,refrac_02 + Circles,~0%,~0%
Refract Pass #23,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Edgy + Slider + Squiggle + Geotile,refrac_09 + semi33434,~49%,~49%
Refract Pass #24,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Prism OJ + Halo + Squiggle + Lensman,refrac_06 + dichro,~49%,~49%
Refract Pass #25,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + Fresnel + Grainary + Mosher,refrac_05,~49%,~49%
Refract Pass #26,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Rotopane + Slick + Slow,refrac_08,~49%,~49%
Refract Pass #27,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + jambler + Polytone + Slow,refrac_02 + Abyss,~0%,~0%
Refract Pass #28,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Grainary + Slider + Radial,refrac_01,~49%,~49%
Refract Pass #29,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Polytone + Halo + Slow,refrac_01 + Rizer,~49%,~49%
Refract Pass #30,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Geotile + Squiggle + Halo + Prism OJ,refrac_08 + Scales,~49%,~49%
Refract Pass #31,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Geotile + Lensman + Geotile + Lensman,refrac_09 + semi31212 + dichro + Circles + rainbow,~0%,~0%
Refract Pass #32,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + Slider + Lensman + Radial,refrac_08 + rainbow,~49%,~49%
Refract Pass #33,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Edgy + Halo + Polytone + Slider,refrac_05 + SphericA,~49%,~49%
Refract Pass #34,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Papier + Edgy + Radial + Edgy,refrac_02,~0%,~0%
Refract Pass #35,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + jambler + Edgy + Prism OJ,refrac_01,~0%,~0%
Refract Pass #36,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Slick + Squiggle + Prism OJ,refrac_05,~49%,~49%
Refract Pass #37,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Slider + Slick + Mosher,refrac_08,~49%,~49%
Refract Pass #38,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Polytone + Papier + Prism OJ,refrac_04 + Brunch,~49%,~49%
Refract Pass #39,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Prism OJ + Squiggle + Slick + Slow,refrac_02,~0%,~0%
Refract Pass #40,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + jambler + Squiggle + Radial,refrac_03,~0%,~0%
Refract Pass #41,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Halo + Papier + Squiggle,refrac_02,~49%,~49%
Refract Pass #42,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + Halo + Fresnel + Slider,refrac_02,~49%,~49%
Refract Pass #43,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Tape + Polytone + Fresnel + Slider,refrac_06 + SphericA,~49%,~49%
Refract Pass #44,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + jambler + Tape + Edgy,refrac_02,~49%,~49%
Refract Pass #45,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Geotile + Prism OJ + Halo + Radial,refrac_08 + Funky,~49%,~49%
Refract Pass #46,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Tape + Edgy + Geotile + Geotile,refrac_08 + Diamond + Funky,~0%,~0%
Refract Pass #47,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + Squiggle + Slick + Rotopane,refrac_04,~49%,~49%
Refract Pass #48,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Radial + Prism OJ + Slider,refrac_02,~49%,~49%
Refract Pass #49,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + Papier + Radial + Squiggle,refrac_02,~0%,~0%
Refract Pass #50,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Rotopane + Radial + Geotile,refrac_06 + semi33336,~49%,~49%
Refract Pass #51,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Swirl + Tape + Radial + Prism OJ,refrac_03,~0%,~0%
Refract Pass #52,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + jambler + Geotile + Prism OJ,refrac_09 + Pincer,~0%,~0%
Refract Pass #53,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Polytone + Squiggle + Slow,refrac_03 + Dawn,~0%,~0%
Refract Pass #54,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + Squiggle + Prism OJ + Slow,refrac_03,~0%,~0%
Refract Pass #55,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + Grainary + jambler + Geotile,refrac_02 + Diamond,~0%,~0%
Refract Pass #56,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Radial + Slick + Radial,refrac_06,~0%,~0%
Refract Pass #57,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Papier + Slider + Geotile + Radial,refrac_08 + Triangles,~49%,~49%
Refract Pass #58,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Geotile + Halo + Slider,refrac_05 + semi4612,~49%,~49%
Refract Pass #59,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Papier + Mosher + jambler + Geotile,refrac_09 + semi4612,~0%,~0%
Refract Pass #60,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Rotopane + Fresnel + Mosher,refrac_08,~49%,~49%
Refract Pass #61,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Prism OJ + Squiggle + Squiggle + Slick,refrac_05,~0%,~0%
Refract Pass #62,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + jambler + Prism OJ + Polytone,refrac_04 + GrapefruitA,~0%,~0%
Refract Pass #63,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Tape + Radial + jambler + Squiggle,refrac_02,~0%,~0%
Refract Pass #64,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Halo + Halo + Radial,refrac_02,~49%,~49%
Refract Pass #65,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Rotopane + Edgy + Geotile,refrac_02 + Brick,~49%,~49%
Refract Pass #66,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Edgy + Radial + Slick + Squiggle,refrac_02,~0%,~0%
Refract Pass #67,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Radial + Squiggle + Fresnel,refrac_08,~49%,~49%
Refract Pass #68,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Polytone + Watercolor + Slow,refrac_02 + SphericA,~49%,~49%
Refract Pass #69,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Edgy + Lensman + jambler + Geotile,refrac_03 + rainbow + semi33434,~0%,~0%
Refract Pass #70,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Papier + Geotile + Edgy,refrac_01 + Diamond,~0%,~0%
Refract Pass #71,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Prism OJ + Lensman + Rotopane + Geotile,refrac_01 + rainbow + Funky,~49%,~49%
Refract Pass #72,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Papier + Papier + Edgy + Geotile,refrac_09 + Brick,~0%,~0%
Refract Pass #73,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Radial + Slider + Mosher,refrac_04,~49%,~49%
Refract Pass #74,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Geotile + Fresnel + Mosher + Geotile,refrac_09 + semi31212 + Scales,~49%,~49%
Refract Pass #75,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Halo + Polytone + Rotopane,refrac_07 + Rizer,~49%,~49%
Refract Pass #76,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + jambler + Slider + Fresnel,refrac_02,~49%,~49%
Refract Pass #77,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Papier + Fresnel + Rotopane + Edgy,refrac_06,~49%,~49%
Refract Pass #78,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Tape + Watercolor + Slow,refrac_05,~0%,~0%
Refract Pass #79,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + Swirl + Geotile + Geotile,refrac_06 + Cubic + Saw,~0%,~0%
Refract Pass #80,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Mosher + Geotile + Polytone,refrac_06 + Triangles + Paranoi3,~0%,~0%
Refract Pass #81,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Swirl + Rotopane + Radial + Slick,refrac_03,~49%,~49%
Refract Pass #82,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Polytone + Grainary + Prism OJ + Slow,refrac_03 + GrapefruitA,~0%,~0%
Refract Pass #83,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Papier + Swirl + Radial,refrac_08,~49%,~49%
Refract Pass #84,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Geotile + Fresnel + Rotopane + Rotopane,refrac_01 + semi488,~49%,~49%
Refract Pass #85,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Geotile + Papier + Slider + jambler,refrac_02 + semi31212,~49%,~49%
Refract Pass #86,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Radial + Prism OJ + Papier + Prism OJ,refrac_08,~0%,~0%
Refract Pass #87,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Fresnel + Squiggle + Prism OJ,refrac_06,~49%,~49%
Refract Pass #88,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Geotile + Slick + Slider,refrac_08 + semi33336,~49%,~49%
Refract Pass #89,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Geotile + Mosher + Prism OJ,refrac_02 + Circles,~49%,~49%
Refract Pass #90,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Mosher + Mosher + Papier + Edgy,refrac_08,~0%,~0%
Refract Pass #91,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Rotopane + Swirl + Rotopane,refrac_06,~49%,~49%
Refract Pass #92,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Grainary + Halo + Edgy,refrac_02,~49%,~49%
Refract Pass #93,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Squiggle + Halo + Tape + Polytone,refrac_04 + CentreA,~49%,~49%
Refract Pass #94,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Prism OJ + Papier + Squiggle + Fresnel,refrac_05,~49%,~49%
Refract Pass #95,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Polytone + Rotopane + Rotopane + Prism OJ,refrac_04 + Paranoi3,~49%,~49%
Refract Pass #96,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Slider + Rotopane + Edgy + Squiggle,refrac_09,~49%,~49%
